,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
3149,DESCONOCIDO,40%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.43,5.0,5.0,4.71,1.0,7,165,160,4,1125
3150,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.91,4.93,4.9,4.68,1.0,164,302,202,1,1125
3151,within an hour,96%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.96,4.93,4.95,4.8,2.0,246,67,261,3,1125
3152,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone']",5.0,5.0,4.88,4.38,2.0,8,4,393,5,32
3153,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,t,t,1 bath,"['email', 'phone', 'work_email']",4.43,5.0,4.57,4.57,1.0,7,0,118,2,15
3154,within a day,30%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,2.0,2,333,350,3,30
3155,within an hour,100%,t,Private room in condo,"Amsterdam, Netherlands",DESCONOCIDO,f,t,2 shared baths,"['email', 'phone']",4.92,4.93,4.94,4.83,1.0,139,205,100,1,40
3156,DESCONOCIDO,DESCONOCIDO,f,Entire rental unit,"Amsterdam, Netherlands",f,f,t,2.5 baths,"['email', 'phone']",5.0,5.0,4.88,4.75,2.0,8,0,200,2,1125
3157,within an hour,100%,t,Houseboat,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.96,5.0,4.92,4.89,2.0,74,124,450,3,1125
3158,within an hour,94%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.94,4.88,4.92,4.68,1.0,50,172,227,2,30
3159,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.96,4.96,4.63,4.79,2.0,24,0,75,3,50
3160,within a day,50%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,3 baths,"['email', 'phone']",4.89,5.0,5.0,4.78,4.0,9,7,750,4,1125
