,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
0,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.81,4.86,4.33,4.52,1.0,21,0,200,3,15
1,within a day,45%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.67,4.92,4.7,4.5,1.0,67,157,170,3,3
2,DESCONOCIDO,71%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.23,5.0,4.86,4.64,4.0,23,2,270,4,65
3,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Amsterdam, Netherlands",f,f,t,1 private bath,"['email', 'phone']",4.77,4.84,4.89,4.74,2.0,175,0,115,3,50
4,within an hour,100%,t,Private room in condo,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 shared baths,"['email', 'phone']",4.99,4.98,4.69,4.8,2.0,336,7,69,3,28
5,within an hour,98%,t,Private room in townhouse,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.79,4.62,4.87,4.49,1.0,339,0,106,1,365
6,DESCONOCIDO,98%,t,Room in boutique hotel,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.77,4.71,4.96,4.4,1.0,280,0,126,3,1124
7,within an hour,100%,t,Private room in houseboat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.95,4.92,4.89,4.79,1.0,251,0,137,3,356
8,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.87,4.94,4.96,4.83,1.0,510,97,79,2,1825
9,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.77,4.97,4.73,4.75,3.0,103,0,120,3,5
10,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.85,4.91,4.88,4.78,1.0,649,115,59,2,730
11,DESCONOCIDO,100%,f,Private room in guest suite,"Amsterdam, Netherlands",f,f,t,1 private bath,"['email', 'phone']",4.88,5.0,5.0,4.56,1.0,17,126,300,2,760
12,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.78,4.88,4.55,4.54,1.0,140,2,145,3,21
13,within a day,100%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.38,4.9,4.66,4.43,2.0,32,281,480,14,100
14,within an hour,100%,t,Entire guest suite,"Amsterdam, Netherlands",t,t,t,1.5 baths,"['email', 'phone']",4.89,4.89,4.98,4.64,3.0,182,271,675,2,180
15,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.45,4.9,4.68,4.5,2.0,44,0,240,3,730
16,within a few hours,85%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.81,4.87,4.49,4.5,1.0,393,39,120,1,6
17,within an hour,100%,t,Entire loft,"Amsterdam, Netherlands",t,t,t,1 bath,"['email', 'phone']",4.82,4.96,4.94,4.64,3.0,309,91,240,2,1125
18,within an hour,93%,t,Entire guest suite,"Amsterdam, Netherlands",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.92,4.97,4.98,4.79,2.0,480,185,271,3,1125
19,within a few hours,90%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.8,4.76,4.65,4.75,3.0,169,160,395,2,10
20,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.88,4.95,4.87,4.74,1.0,417,145,132,2,365
21,within an hour,57%,t,Entire home,"Amsterdam, Netherlands",f,f,t,3.5 baths,"['email', 'phone']",4.93,5.0,4.93,4.8,4.0,16,8,385,4,14
22,DESCONOCIDO,33%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.87,4.94,5.0,4.67,1.0,63,0,296,2,1125
23,within a few hours,50%,f,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.08,4.67,4.5,4.5,2.0,12,25,250,9,28
24,within a few hours,99%,t,Private room in loft,"Amsterdam, Netherlands",f,f,t,1 private bath,"['email', 'phone']",4.94,4.89,4.79,4.68,2.0,162,223,195,2,20
25,within a few hours,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.86,4.83,4.94,4.83,1.0,402,214,136,2,365
26,within a day,67%,t,Entire loft,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.92,4.98,4.92,4.8,1.0,66,0,150,21,1125
27,within a day,78%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.53,5.0,4.84,4.53,2.0,20,2,246,3,365
28,within a day,57%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.86,4.98,4.95,4.8,2.0,95,74,149,3,21
29,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.63,4.83,4.82,4.71,1.0,350,0,119,3,90
30,DESCONOCIDO,0%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.88,4.94,4.68,4.59,1.0,36,0,120,2,6
31,DESCONOCIDO,98%,t,Private room in home,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.82,4.79,4.95,4.57,1.0,241,0,116,3,1125
32,within a day,50%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,3.5 baths,"['email', 'phone']",4.57,4.86,4.71,4.43,6.0,7,21,420,5,30
33,within a few hours,98%,t,Boat,"Amsterdam, Netherlands",t,f,t,1 bath,"['email', 'phone']",4.76,4.71,4.97,4.49,3.0,179,185,275,3,1125
34,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.86,4.95,4.69,4.66,1.0,113,0,88,3,30
35,within an hour,75%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.9,4.82,4.55,4.67,1.0,49,0,146,4,15
36,within an hour,100%,t,Entire guesthouse,"Amsterdam, Netherlands",t,t,t,1 bath,"['email', 'phone', 'work_email']",4.32,4.72,4.92,4.45,2.0,1005,214,139,2,28
37,within a few hours,100%,t,Entire home,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.97,5.0,4.95,4.87,2.0,39,1,238,6,20
38,within an hour,100%,t,Private room in boat,"Amsterdam, Netherlands",f,t,t,1.5 baths,"['email', 'phone']",4.66,4.84,4.91,4.59,1.0,140,14,149,1,30
39,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.89,4.77,4.37,4.5,2.0,283,261,80,2,8
40,within an hour,90%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.57,4.83,4.73,4.12,8.0,121,258,1036,2,90
41,within an hour,99%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.92,4.91,4.92,4.8,1.0,356,162,633,3,365
42,within an hour,99%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.91,4.9,4.92,4.76,1.0,415,197,238,3,365
43,within a day,35%,t,Entire townhouse,"Amsterdam, Netherlands",f,f,t,2.5 baths,"['email', 'phone']",4.69,4.88,4.82,4.64,4.0,104,110,265,2,1125
44,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.88,4.97,4.38,4.82,1.0,37,0,100,2,14
45,within a few hours,96%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 bath,"['email', 'phone']",4.84,4.92,4.77,4.73,1.0,242,230,126,3,1125
46,within a few hours,85%,t,Entire rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 bath,"['email', 'phone']",4.78,4.97,4.68,4.54,2.0,37,130,260,30,1125
47,within a few hours,99%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.71,4.84,4.89,4.6,1.0,248,250,159,3,1125
48,DESCONOCIDO,0%,t,Entire rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 bath,"['email', 'phone']",4.9,4.9,5.0,4.6,5.0,10,38,225,2,14
49,within an hour,100%,t,Private room in condo,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 shared bath,"['email', 'phone']",4.9,4.92,4.41,4.66,1.0,290,268,62,3,365
50,within an hour,100%,f,Entire rental unit,"Amsterdam, Netherlands",f,t,t,2 baths,"['email', 'phone']",4.91,4.93,4.87,4.76,1.0,77,155,327,3,1125
51,within an hour,100%,t,Private room in boat,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1.5 baths,"['email', 'phone', 'work_email']",4.84,4.87,4.72,4.67,1.0,336,11,109,2,1125
52,DESCONOCIDO,DESCONOCIDO,t,Boat,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.06,4.86,4.85,4.44,1.0,52,0,88,28,1125
53,DESCONOCIDO,75%,t,Entire rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.63,4.88,4.91,4.66,2.0,32,0,200,4,21
54,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.73,5.0,4.73,4.82,3.0,11,0,120,5,22
55,DESCONOCIDO,DESCONOCIDO,t,Boat,Netherlands,f,f,t,2.5 baths,"['email', 'phone']",4.69,4.88,4.59,4.48,26.0,107,220,1239,2,30
56,DESCONOCIDO,50%,t,Houseboat,"Amsterdam, Netherlands",f,f,t,2.5 baths,"['email', 'phone']",5.0,5.0,4.67,4.56,3.0,10,0,290,3,35
57,within a day,78%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.72,4.97,4.93,4.49,5.0,63,6,475,2,30
58,within a day,0%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,4.0,4.0,2.0,2,246,180,2,10
59,within an hour,98%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.9,4.91,4.96,4.79,1.0,669,143,150,1,5
60,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.92,4.83,4.38,4.42,1.0,258,256,75,2,8
61,DESCONOCIDO,75%,t,Entire rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,6,0,155,3,21
62,DESCONOCIDO,75%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,Private half-bath,"['email', 'phone']",4.69,4.92,4.92,4.64,1.0,36,0,100,3,10
63,within a day,89%,t,Private room in boat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 bath,"['email', 'phone']",4.74,4.95,4.93,4.78,1.0,234,277,205,3,365
64,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 bath,"['email', 'phone']",4.62,4.77,4.93,4.51,1.0,451,268,163,2,31
65,within a few hours,44%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",3.99,4.5,4.59,4.09,1.0,91,30,175,2,22
66,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,4.5,5.0,1.0,2,0,110,3,7
67,within a day,53%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.8,4.92,4.93,4.6,1.0,88,351,325,5,15
68,within a day,21%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.81,4.88,4.88,4.69,1.0,27,330,500,3,1125
69,within a few hours,89%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1 bath,"['email', 'phone']",4.69,4.77,4.86,4.62,2.0,516,38,336,1,90
70,DESCONOCIDO,40%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.92,5.0,4.58,4.92,5.0,26,0,190,8,25
71,within an hour,100%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1.5 baths,['phone'],4.92,4.98,4.91,4.83,6.0,584,1,250,2,30
72,within a few hours,96%,t,Private room in boat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.83,4.9,4.77,4.72,1.0,267,228,110,2,30
73,DESCONOCIDO,88%,f,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.82,4.88,4.91,4.65,1.0,34,0,149,2,15
74,DESCONOCIDO,DESCONOCIDO,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.84,4.82,4.58,4.7,2.0,57,0,140,5,30
75,within a day,100%,t,Entire loft,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone']",4.64,4.88,4.79,4.75,5.0,27,6,220,3,14
76,within a day,65%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1 bath,"['email', 'phone']",4.43,4.72,4.66,4.4,4.0,58,0,250,2,1125
77,within an hour,100%,t,Private room in townhouse,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.88,4.97,4.88,4.75,1.0,475,131,108,3,30
78,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.64,4.76,4.93,4.48,3.0,57,11,399,4,10
79,within an hour,0%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.34,4.88,4.62,4.39,1.0,162,125,80,2,30
80,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",t,t,t,1 bath,"['email', 'phone']",4.65,4.86,4.95,4.61,3.0,955,40,250,2,1124
81,within a few hours,74%,t,Private room in boat,"Amsterdam, Netherlands",f,f,t,1 private bath,"['email', 'phone']",4.64,4.71,4.93,4.6,1.0,350,255,269,1,1125
82,within a few hours,56%,t,Entire townhouse,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.83,4.96,4.94,4.73,4.0,125,5,245,2,1125
83,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.56,4.96,4.56,4.52,1.0,27,0,139,3,1125
84,within an hour,100%,t,Private room in condo,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.74,4.89,4.92,4.64,1.0,477,99,176,3,60
85,DESCONOCIDO,0%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.67,5.0,4.67,4.5,2.0,18,156,150,4,14
86,DESCONOCIDO,43%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.57,4.88,4.92,4.64,2.0,109,0,150,3,5
87,within a few hours,64%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.41,4.71,4.76,4.41,2.0,97,2,175,3,1124
88,within a few hours,75%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 shared baths,"['email', 'phone']",4.94,4.91,4.84,4.79,2.0,380,76,90,4,30
89,within a few hours,27%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.88,5.0,5.0,4.76,1.0,17,77,337,5,30
90,within a day,84%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.76,4.96,4.92,4.73,1.0,80,1,209,3,19
91,within a day,50%,t,Entire loft,"Amsterdam, Netherlands",f,f,t,2.5 baths,"['email', 'phone', 'work_email']",4.85,5.0,4.95,4.74,4.0,20,0,245,5,35
92,within an hour,80%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone', 'work_email']",4.84,4.91,4.87,4.72,1.0,153,89,429,3,15
93,within an hour,100%,t,Private room in houseboat,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone', 'work_email']",4.55,4.63,4.85,4.48,1.0,94,138,287,3,360
94,within a few hours,100%,t,Private room in boat,"Amsterdam, Netherlands",t,f,t,1 private bath,"['email', 'phone']",4.95,4.97,4.92,4.81,1.0,1134,161,135,1,30
95,DESCONOCIDO,67%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.94,5.0,4.76,4.76,2.0,17,0,249,4,21
96,DESCONOCIDO,DESCONOCIDO,t,Entire home,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.71,4.71,4.71,4.29,3.0,7,18,495,4,14
97,within an hour,100%,t,Private room in guest suite,"Amsterdam, Netherlands",t,f,t,1 private bath,"['email', 'phone']",4.97,4.96,4.79,4.86,1.0,552,28,150,2,31
98,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.62,4.94,4.77,4.68,1.0,69,150,200,6,12
99,within an hour,94%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.89,4.94,5.0,4.67,1.0,18,115,127,6,60
100,DESCONOCIDO,94%,t,Private room in loft,"Amsterdam, Netherlands",t,t,t,1.5 baths,"['email', 'phone']",4.94,4.91,4.74,4.72,1.0,249,156,154,2,1125
101,within a few hours,6%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.67,5.0,4.67,4.78,1.0,9,12,110,4,30
102,within an hour,33%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.75,5.0,4.33,4.42,1.0,12,147,145,7,28
103,within a few hours,48%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.77,4.97,4.81,4.74,1.0,81,144,145,2,30
104,within a day,15%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.67,4.89,4.89,4.63,1.0,28,0,381,5,30
105,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.93,4.94,4.96,4.83,2.0,341,77,133,3,28
106,within a day,41%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone']",4.56,4.94,4.89,4.94,3.0,20,14,400,3,13
107,DESCONOCIDO,DESCONOCIDO,t,Entire townhouse,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.61,5.0,4.39,4.61,2.0,20,0,170,5,14
108,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.52,4.77,4.87,4.71,1.0,231,2,129,3,60
109,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.57,4.6,4.77,4.4,6.0,277,220,410,3,90
110,within an hour,56%,t,Entire condo,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.8,4.82,4.84,4.64,3.0,52,5,150,5,1125
111,within a few hours,56%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.85,4.93,4.78,4.91,1.0,47,239,140,4,8
112,within a few hours,83%,t,Boat,"Amsterdam, Netherlands",t,f,t,1 bath,['phone'],4.84,4.9,4.67,4.72,2.0,126,15,200,3,60
113,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",t,t,t,1.5 baths,"['email', 'phone']",4.88,4.8,4.52,4.59,2.0,911,145,202,1,30
114,within a day,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",5.0,4.86,4.86,4.86,4.0,7,15,200,7,14
115,DESCONOCIDO,DESCONOCIDO,t,Entire loft,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.65,4.87,4.78,4.69,2.0,70,0,800,30,60
116,within a few hours,86%,t,Entire home,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone', 'work_email']",4.43,4.84,4.7,4.54,3.0,39,4,175,3,30
117,within an hour,92%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone']",4.67,5.0,4.57,4.57,1.0,21,57,394,2,21
118,within an hour,100%,t,Private room in guest suite,"Amsterdam, Netherlands",t,t,t,1 private bath,"['email', 'phone', 'work_email']",4.88,4.93,4.72,4.66,3.0,499,164,80,2,30
119,within a day,85%,t,Entire rental unit,"Amsterdam, Netherlands",t,f,t,2.5 baths,"['email', 'phone', 'work_email']",4.8,4.88,4.83,4.64,3.0,370,30,350,7,180
120,within a few hours,94%,t,Private room in boat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.86,4.82,4.67,4.61,1.0,432,276,148,1,365
121,within a day,36%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.7,4.96,4.96,4.71,1.0,83,188,180,93,365
122,within a day,98%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.95,4.98,4.95,4.81,3.0,186,221,150,4,35
123,within an hour,100%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.22,4.76,4.21,4.54,1.0,63,185,72,3,300
124,within an hour,100%,t,Private room in home,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.68,4.95,4.55,4.74,2.0,150,159,78,3,300
125,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.77,4.92,4.9,4.68,1.0,804,30,134,1,10
126,within an hour,97%,t,Private room in guest suite,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.91,4.91,4.95,4.74,1.0,457,67,117,3,125
127,within a day,26%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.9,5.0,4.97,4.87,3.0,32,252,355,5,365
128,DESCONOCIDO,0%,t,Entire condo,"Amsterdam, Netherlands",f,t,t,1 bath,"['email', 'phone', 'work_email']",4.65,4.82,4.71,4.65,1.0,36,0,225,4,30
129,within a few hours,75%,t,Private room in farm stay,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.81,4.9,4.78,4.79,1.0,414,151,87,2,1125
130,DESCONOCIDO,100%,t,Private room in townhouse,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1.5 baths,"['email', 'phone']",4.45,4.61,4.35,4.19,3.0,291,278,112,1,1125
131,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.82,4.9,4.55,4.61,2.0,210,233,95,2,7
132,within an hour,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,3 baths,"['email', 'phone']",4.96,5.0,4.96,4.88,2.0,26,19,450,4,21
133,within an hour,98%,t,Private room,"Amsterdam, Netherlands",t,f,t,1 private bath,"['email', 'phone']",4.97,4.99,4.84,4.8,1.0,92,2,90,3,7
134,within a few hours,89%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 private bath,"['email', 'phone']",4.96,5.0,4.97,4.9,1.0,70,216,183,2,1125
135,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.85,4.97,4.93,4.71,1.0,547,32,143,1,10
136,within an hour,100%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1.5 shared baths,"['email', 'phone']",4.57,4.83,4.16,4.49,2.0,333,93,103,2,60
137,DESCONOCIDO,67%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone', 'work_email']",4.19,4.71,4.61,4.27,1.0,261,1,31,28,1124
138,DESCONOCIDO,DESCONOCIDO,t,Houseboat,"Amsterdam, Netherlands",f,f,t,2.5 baths,"['email', 'phone']",4.71,4.92,4.93,4.86,3.0,14,0,100,7,30
139,DESCONOCIDO,75%,t,Entire loft,"Amsterdam, Netherlands",f,f,t,2.5 baths,"['email', 'phone', 'work_email']",5.0,5.0,4.73,5.0,2.0,11,3,145,5,30
140,within an hour,19%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,2 baths,"['email', 'phone', 'work_email']",4.66,4.97,4.83,4.41,5.0,32,168,459,4,360
141,within a few hours,85%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.65,4.84,4.85,4.64,1.0,92,4,125,4,61
142,within a few hours,89%,t,Private room in bed and breakfast,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,4.95,4.84,1.0,64,228,238,2,1125
143,within an hour,100%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1.5 baths,"['email', 'phone']",4.76,4.92,4.48,4.64,1.0,568,222,109,5,1125
144,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.18,4.88,4.66,4.53,2.0,33,0,150,6,35
145,within a few hours,57%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.85,4.85,4.81,4.69,1.0,34,0,279,6,21
146,within an hour,89%,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.92,4.91,4.72,4.71,2.0,409,11,89,5,60
147,DESCONOCIDO,DESCONOCIDO,t,Entire condo,"Amsterdam, Netherlands",f,t,t,1.5 baths,"['email', 'phone', 'work_email']",4.8,4.96,4.98,4.66,4.0,93,0,153,2,120
148,DESCONOCIDO,0%,t,Entire loft,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.86,4.93,4.79,4.74,4.0,148,154,109,91,360
149,within a day,33%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.93,5.0,4.95,4.86,1.0,46,52,145,5,1125
