,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
0,within a day,DESCONOCIDO,f,Entire loft,"Mexico City, Mexico",f,f,t,1.5 baths,['phone'],4.95,4.95,5.0,4.86,1.0,21,324,1434,1,1125
1,DESCONOCIDO,DESCONOCIDO,t,Entire guest suite,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.88,5.0,4.95,4.84,1.0,61,346,830,3,1125
2,within an hour,90%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,2 baths,"['email', 'phone']",4.71,4.92,4.58,4.71,3.0,39,87,1469,24,1125
3,DESCONOCIDO,DESCONOCIDO,t,Entire villa,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.7,4.8,4.8,4.7,1.0,0,363,3658,1,7
4,within an hour,86%,t,Entire home,"Mexico City, Mexico",f,f,t,5.5 baths,"['email', 'phone', 'work_email']",4.7,4.78,4.98,4.48,8.0,64,357,18000,1,365
5,within a few hours,70%,t,Entire loft,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",4.71,4.85,5.0,4.83,1.0,78,240,2561,2,30
6,within an hour,95%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.88,4.94,4.75,4.79,1.0,84,144,650,3,250
7,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1 shared bath,"['email', 'phone']",4.9,4.95,4.94,4.87,1.0,62,168,1089,2,1125
8,within an hour,100%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.75,4.75,4.88,4.81,1.0,18,156,943,2,60
9,within a few hours,58%,t,Entire home,"Mexico City, Mexico",t,f,t,5.5 baths,['phone'],4.69,4.88,4.34,4.75,16.0,120,270,2561,1,90
10,within an hour,98%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.96,4.99,4.95,4.91,2.0,272,153,1881,3,1125
11,within a day,73%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.73,4.91,4.98,4.91,2.0,47,362,2088,4,30
12,within an hour,100%,t,Entire loft,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.69,4.79,4.62,4.61,2.0,585,358,402,1,1125
13,within a day,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.95,4.98,4.96,4.92,1.0,114,145,1097,7,180
14,within an hour,87%,t,Room in serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.83,5.0,4.83,4.78,1.0,23,340,1006,2,730
15,within an hour,87%,t,Entire serviced apartment,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.29,4.43,4.43,4.29,1.0,7,350,998,2,730
16,DESCONOCIDO,0%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1.5 baths,['phone'],4.2,4.6,4.8,4.6,1.0,5,363,726,1,14
17,a few days or more,DESCONOCIDO,t,Private room in home,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.6,4.8,4.4,4.4,1.0,5,284,375,2,1125
18,DESCONOCIDO,0%,t,Private room in rental unit,"Los Angeles, CA",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.7,4.8,4.8,4.7,2.0,0,365,2835,1,1125
19,within an hour,99%,t,Entire loft,"Mexico City, Mexico",t,f,t,1.5 baths,"['email', 'phone']",5.0,4.78,4.89,4.78,1.0,10,317,3413,2,365
20,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.84,4.96,4.89,4.68,1.0,80,303,1200,2,1125
21,within a few hours,DESCONOCIDO,f,Private room,"Mexico City, Mexico",f,f,t,1 private bath,['phone'],4.7,4.8,4.8,4.7,1.0,0,88,1244,1,730
22,within a few hours,40%,t,Tiny home,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.91,5.0,5.0,4.82,2.0,12,280,817,3,1125
23,DESCONOCIDO,DESCONOCIDO,t,Entire guest suite,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.67,4.81,4.86,4.44,2.0,37,341,950,3,90
24,within an hour,100%,t,Private room in home,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,4,336,549,1,90
25,within a few hours,40%,t,Entire loft,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.78,5.0,5.0,4.78,1.0,9,304,672,3,1125
26,within an hour,95%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,3 baths,"['email', 'phone']",4.92,4.96,4.87,4.95,4.0,215,88,2049,2,180
27,within an hour,100%,t,Entire home,"Mexico City, Mexico",t,f,t,5 baths,"['email', 'phone']",4.86,4.92,4.71,4.91,10.0,297,194,3449,2,365
28,within a day,33%,t,Private room in townhouse,"Mexico City, Mexico",f,f,t,1.5 shared baths,"['email', 'phone', 'work_email']",4.97,4.96,4.96,4.95,1.0,158,295,1543,2,7
29,within an hour,77%,t,Private room in rental unit,"Federal District, Mexico",t,f,t,1 shared bath,"['email', 'phone']",4.59,4.94,4.98,4.78,1.0,90,354,302,4,1125
30,DESCONOCIDO,100%,t,Private room in home,"Mexico City, Mexico",f,f,t,2.5 baths,"['email', 'phone']",4.93,4.93,4.7,4.85,4.0,27,328,500,2,365
31,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.63,5.0,4.97,4.76,2.0,38,153,1050,5,1125
32,within a few hours,98%,t,Entire condo,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.8,4.94,4.66,4.77,2.0,66,214,672,2,90
33,DESCONOCIDO,DESCONOCIDO,t,Entire loft,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone']",4.68,4.68,4.93,4.64,3.0,370,324,1434,2,1125
34,within an hour,100%,t,Entire loft,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.47,4.68,4.43,4.28,1.0,54,356,1310,4,360
35,within an hour,100%,t,Entire loft,"Mexico City, Mexico",t,f,t,1.5 baths,"['email', 'phone']",4.68,4.86,4.89,4.7,1.0,44,155,1037,3,365
36,within an hour,100%,t,Entire serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.4,4.9,4.85,4.8,2.0,20,197,794,2,1125
37,within a few hours,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.65,4.88,4.92,4.5,1.0,101,0,50000,14,365
38,within a few hours,100%,t,Entire loft,"Mexico City, Mexico",t,f,t,2 baths,"['email', 'phone']",4.58,4.79,5.0,4.63,2.0,24,0,5000,14,365
39,within a few hours,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.81,5.0,4.96,4.67,1.0,67,26,1900,5,1125
40,within a few hours,75%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.65,4.81,4.85,4.59,2.0,174,305,870,2,365
41,a few days or more,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.72,4.89,4.94,4.59,1.0,18,348,850,180,365
42,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.84,4.96,4.96,4.88,2.0,26,365,817,2,1125
43,within a few hours,58%,t,Private room in home,"Mexico City, Mexico",t,f,t,1.5 shared baths,['phone'],4.67,4.92,4.46,4.8,1.0,127,307,402,1,1125
44,within a few hours,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone', 'work_email']",4.9,5.0,4.88,4.98,2.0,40,363,2800,30,120
45,DESCONOCIDO,33%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",5.0,5.0,4.89,4.78,2.0,9,269,480,2,1125
46,DESCONOCIDO,0%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.31,4.85,4.96,4.42,1.0,27,363,1200,3,180
47,within an hour,97%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.86,4.98,4.95,4.9,2.0,42,155,788,7,1125
48,within an hour,94%,t,Entire home,"Mexico City, Mexico",t,f,t,2.5 baths,"['email', 'phone', 'work_email']",4.25,4.75,4.5,4.25,3.0,4,362,4714,15,120
49,within an hour,98%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.85,4.95,4.88,4.81,2.0,335,361,1017,1,90
50,within an hour,98%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.88,4.93,4.89,4.84,1.0,249,365,900,1,90
51,within a few hours,81%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.96,4.95,4.99,4.94,1.0,99,313,545,3,30
52,within a day,0%,t,Entire rental unit,Mexico,f,f,t,2 baths,"['email', 'phone']",4.84,4.93,4.97,4.81,4.0,136,211,2269,2,1125
53,within an hour,87%,t,Room in serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.94,5.0,4.97,4.97,1.0,31,332,1006,2,730
54,within an hour,100%,t,Entire loft,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.91,4.97,4.9,4.86,2.0,253,326,1880,7,1125
55,within an hour,87%,t,Room in serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.92,5.0,5.0,4.9,1.0,49,350,908,2,730
56,within an hour,87%,t,Entire serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.91,4.91,4.96,4.83,1.0,23,272,908,2,730
57,within an hour,100%,t,Private room in rental unit,"Mexico City, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.32,4.32,4.68,4.21,2.0,20,365,591,5,1825
58,within an hour,100%,t,Entire home,"Mexico City, Mexico",t,f,t,4.5 baths,"['email', 'phone']",4.89,4.94,4.78,4.91,10.0,319,194,3014,2,365
59,within a few hours,89%,t,Private room in rental unit,"Mexico City, Mexico",t,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.9,4.95,5.0,4.9,1.0,20,247,726,15,1125
60,within a few hours,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.76,4.82,4.94,4.81,1.0,355,127,1154,5,1125
61,DESCONOCIDO,DESCONOCIDO,f,Entire rental unit,DESCONOCIDO,f,f,t,1 bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,0,1815,7,365
62,within an hour,87%,t,Room in serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.95,5.0,4.95,4.95,1.0,22,356,908,2,730
63,within a few hours,58%,t,Entire home,"Mexico City, Mexico",t,f,t,5.5 baths,['phone'],4.8,4.94,4.43,4.79,16.0,237,266,2561,1,90
64,within a few hours,60%,t,Entire rental unit,Mexico,f,f,t,1 bath,"['email', 'phone']",4.56,4.82,4.9,4.63,2.0,294,313,1000,15,1125
65,within an hour,91%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.94,4.96,4.92,4.89,2.0,54,330,1532,3,48
66,within an hour,86%,t,Room in serviced apartment,"Mexico City, Mexico",f,t,t,1 private bath,"['email', 'phone', 'work_email']",5.0,5.0,5.0,4.86,2.0,7,287,3162,1,365
67,within an hour,100%,t,Entire guest suite,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.65,4.87,4.95,4.7,1.0,389,334,726,1,1125
68,DESCONOCIDO,0%,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,365,545,2,14
69,within an hour,92%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.87,4.92,4.94,4.77,1.0,223,336,699,7,1125
70,DESCONOCIDO,0%,f,Entire rental unit,Switzerland,f,f,t,2 baths,"['email', 'phone']",4.88,4.73,4.9,4.8,2.0,119,0,1362,3,180
71,within a few hours,75%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.6,4.8,4.85,4.64,2.0,189,296,1200,2,1125
72,within an hour,100%,t,Entire serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.71,4.92,4.44,4.73,3.0,147,188,796,2,1125
73,within a few hours,85%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,1,0,2269,1,1125
74,within an hour,100%,t,Tiny home,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.92,4.93,4.93,4.79,1.0,491,312,1556,3,1125
75,within an hour,100%,t,Entire rental unit,"Buxtehude, Germany",f,f,t,2 baths,"['email', 'phone']",4.73,4.91,4.44,4.73,3.0,46,167,545,3,1125
76,within a day,0%,f,Private room in condo,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.85,4.86,4.93,4.78,1.0,107,162,457,4,10
77,within an hour,100%,t,Entire loft,"London, United Kingdom",t,f,t,1.5 baths,"['email', 'phone']",4.82,4.94,4.93,4.88,4.0,274,288,1448,2,1125
78,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1.5 shared baths,"['email', 'phone']",4.83,4.93,4.74,4.84,1.0,204,120,327,2,160
79,within an hour,100%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.92,4.69,4.96,4.87,2.0,428,313,1362,2,1125
80,within an hour,100%,t,Entire home,"Mexico City, Mexico",t,f,t,2.5 baths,"['email', 'phone']",4.96,4.87,4.97,4.91,2.0,71,179,1949,2,200
81,within an hour,93%,t,Private room in rental unit,"Mexico City, Mexico",f,t,t,1.5 shared baths,"['email', 'phone', 'work_email']",4.72,4.94,4.87,4.75,1.0,132,365,713,1,1125
82,within an hour,71%,t,Entire home,"Mexico City, Mexico",f,f,t,4.5 baths,"['email', 'phone']",5.0,5.0,4.95,4.68,4.0,20,331,6354,7,90
83,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1.5 shared baths,"['email', 'phone']",4.9,4.94,4.94,4.86,1.0,51,253,327,2,200
84,within an hour,100%,t,Private room in condo,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.8,4.93,4.89,4.81,1.0,120,90,529,3,31
85,within an hour,100%,t,Private room in home,"Mexico City, Mexico",f,t,t,1.5 shared baths,"['email', 'phone']",4.76,5.0,4.56,4.75,1.0,17,0,272,2,1125
86,within a day,88%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",4.23,4.85,4.92,4.62,1.0,13,114,450,1,90
87,DESCONOCIDO,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.84,4.94,4.91,4.81,1.0,337,184,1398,3,1125
88,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,365,1006,5,180
89,within a few hours,100%,t,Private room in condo,"New York, NY",f,f,t,1 shared bath,"['email', 'phone', 'work_email']",4.96,4.75,4.93,4.71,1.0,28,364,896,2,1125
90,within a day,86%,t,Private room in guest suite,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.97,4.91,4.97,4.94,1.0,152,292,1036,2,365
91,DESCONOCIDO,100%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,2,364,500,3,28
92,within an hour,99%,t,Entire rental unit,Mexico,t,f,t,2 baths,"['email', 'phone']",4.91,4.79,4.94,4.88,2.0,35,344,1452,2,1125
93,within a day,88%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",4.75,4.88,4.88,4.82,1.0,17,365,400,1,120
94,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.88,4.98,4.99,4.87,2.0,217,162,1400,1,1125
95,within an hour,99%,t,Entire loft,Mexico,f,f,t,1 bath,"['email', 'phone']",4.51,4.72,4.76,4.47,2.0,418,142,615,1,22
96,within a day,46%,t,Private room in bed and breakfast,"Mexico City, Mexico",t,f,t,6 baths,"['email', 'phone']",4.73,4.84,4.98,4.47,10.0,51,365,14143,1,14
97,within an hour,92%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.84,4.97,4.89,4.89,1.0,37,362,450,1,13
98,within a few hours,77%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,2 baths,"['email', 'phone']",4.62,4.96,4.88,4.69,2.0,27,284,1250,2,1125
99,within a day,82%,t,Private room in rental unit,"Mexico City, Mexico",t,f,t,1 private bath,"['email', 'phone']",4.91,4.71,4.76,4.82,1.0,46,348,450,2,1125
100,within a few hours,77%,t,Private room in rental unit,"Mexico City, Mexico",t,f,t,1 shared bath,"['email', 'phone']",5.0,4.89,4.89,5.0,1.0,9,357,385,2,1125
101,within a day,0%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,364,700,1,7
102,within an hour,85%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.94,4.75,4.94,4.69,1.0,16,363,295,4,1125
103,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.76,4.53,4.88,4.35,1.0,17,207,1180,3,60
104,within a day,100%,t,Entire home,"Mexico City, Mexico",t,f,t,3.5 baths,"['email', 'phone', 'work_email']",5.0,5.0,5.0,5.0,3.0,6,90,4481,10,21
105,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.83,4.96,4.75,4.71,2.0,24,360,1797,3,90
106,within an hour,100%,t,Private room in home,"Mexico City, Mexico",f,f,t,1.5 shared baths,"['email', 'phone']",4.6,4.96,4.95,4.86,2.0,134,80,700,3,28
107,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone', 'work_email']",5.0,5.0,4.56,4.81,1.0,17,137,381,3,1125
108,within a day,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1 private bath,"['email', 'phone', 'work_email']",4.89,4.84,4.95,4.68,1.0,21,2,908,5,21
109,within a few hours,100%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.77,4.95,5.0,4.48,1.0,22,72,2500,5,1125
110,DESCONOCIDO,0%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1.5 shared baths,"['email', 'phone', 'work_email']",4.94,4.89,4.96,4.8,2.0,53,88,599,3,15
111,DESCONOCIDO,0%,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,DESCONOCIDO,"['email', 'phone']",1.0,3.0,1.0,1.5,1.0,2,365,457,1,1125
112,within an hour,99%,t,Entire loft,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",4.79,4.96,4.91,4.81,2.0,85,30,1466,4,60
113,within an hour,93%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.94,4.88,4.96,4.87,1.0,257,234,2033,2,1125
114,within an hour,100%,t,Private room in home,"Mexico City, Mexico",f,f,t,1.5 shared baths,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,2,362,732,3,90
115,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.67,4.7,4.88,4.41,2.0,76,298,685,1,1125
116,within a day,50%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone']",4.9,4.86,5.0,4.76,2.0,23,11,2559,6,45
117,within a day,100%,t,Entire condo,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone', 'work_email']",4.74,5.0,4.79,4.89,1.0,19,121,817,7,35
118,within a few hours,64%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",3.5,3.75,3.25,3.5,2.0,8,327,1071,4,1125
119,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.88,4.97,4.91,4.91,2.0,34,333,876,1,365
120,within an hour,74%,t,Entire loft,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.78,4.89,4.76,4.68,1.0,43,356,1489,2,1125
121,within a few hours,81%,t,Private room in rental unit,"Mexico City, Mexico",t,f,t,1 shared bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,116,1900,7,1125
122,DESCONOCIDO,DESCONOCIDO,t,Entire condo,"Cancun, Mexico",f,f,t,1 bath,"['email', 'phone']",4.87,5.0,4.67,5.0,1.0,15,48,708,28,365
123,within an hour,92%,t,Entire loft,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.76,4.9,4.87,4.67,2.0,147,365,1350,2,60
124,within a few hours,81%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,3.5 baths,"['email', 'phone']",4.96,4.83,4.88,4.88,6.0,25,207,3420,3,30
125,within a few hours,81%,t,Entire condo,"Mexico City, Mexico",t,f,t,2.5 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,5.0,2,250,5820,3,21
126,a few days or more,86%,t,Private room in home,DESCONOCIDO,f,f,t,1 shared bath,"['email', 'phone']",4.77,4.88,4.51,4.79,2.0,49,287,220,5,1125
127,within an hour,95%,t,Entire rental unit,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.84,4.95,4.98,4.86,2.0,97,184,1237,5,95
128,within an hour,93%,t,Entire rental unit,Mexico,f,f,t,1 bath,"['email', 'phone', 'work_email']",4.92,4.9,4.89,4.81,2.0,145,84,1947,2,1000
129,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 bath,['phone'],4.7,4.8,4.8,4.7,1.0,0,365,350,30,150
130,within a day,60%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.63,4.67,4.7,4.44,1.0,27,256,878,6,1125
131,within an hour,100%,t,Private room in guest suite,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.66,4.95,4.93,4.6,1.0,213,362,550,1,1125
132,within a day,86%,t,Private room in guest suite,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.91,4.78,4.94,4.79,1.0,66,336,1036,2,365
133,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1.5 baths,"['email', 'phone']",4.84,4.88,4.9,4.71,1.0,105,318,3089,2,1125
134,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,t,t,1 shared bath,"['email', 'phone']",5.0,5.0,5.0,4.94,1.0,114,252,1271,2,30
135,within an hour,97%,t,Entire rental unit,"New York, NY",t,f,t,2 baths,"['email', 'phone']",5.0,4.96,5.0,4.91,2.0,26,347,2723,30,365
136,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.95,4.83,4.96,4.84,3.0,287,204,2934,2,90
137,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.95,4.96,5.0,4.87,1.0,319,329,2814,2,1125
138,within an hour,100%,t,Private room in condo,"Mexico City, Mexico",t,f,t,1 private bath,"['email', 'phone', 'work_email']",4.74,4.96,4.98,4.83,1.0,47,176,850,2,28
139,within a few hours,73%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.85,4.96,4.8,4.96,1.0,27,331,240,7,90
140,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1 private bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,1,209,400,3,1125
141,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone', 'work_email']",5.0,4.96,4.54,4.77,1.0,26,139,381,3,1125
142,within an hour,86%,t,Room in serviced apartment,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone', 'work_email']",5.0,3.0,5.0,4.0,1.0,1,16,2808,1,365
143,within an hour,91%,t,Entire rental unit,"Mexico City, Mexico",t,t,t,2 baths,"['email', 'phone']",4.94,4.95,4.98,4.92,2.0,175,326,2941,2,48
144,within a few hours,63%,t,Entire rental unit,"Federal District, Mexico",f,f,t,1 bath,['email'],4.79,4.67,4.87,4.6,2.0,30,365,1216,3,1125
145,DESCONOCIDO,0%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1.5 shared baths,"['email', 'phone']",5.0,4.67,5.0,4.33,1.0,3,365,250,5,1125
146,DESCONOCIDO,67%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.17,4.67,4.67,4.42,1.0,38,152,420,20,150
147,DESCONOCIDO,DESCONOCIDO,t,Entire guesthouse,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.79,4.87,4.94,4.69,1.0,62,333,900,3,1125
148,DESCONOCIDO,100%,f,Private room in rental unit,"Mexico City, Mexico",f,f,t,2 shared baths,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,1,335,566,2,1125
149,within a few hours,58%,t,Entire home,"Mexico City, Mexico",t,f,t,5.5 baths,['phone'],4.75,4.97,4.48,4.8,16.0,164,276,2561,1,1125
150,within an hour,100%,t,Private room in guesthouse,"Federal District, Mexico",t,f,t,1 private bath,"['email', 'phone']",4.8,4.98,4.73,4.8,1.0,42,364,545,2,1125
151,within an hour,100%,t,Private room in rental unit,"Mexico City, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.5,4.94,4.88,4.75,1.0,17,87,600,5,1825
152,DESCONOCIDO,100%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,3.5 baths,"['email', 'phone', 'work_email']",4.77,4.77,4.97,4.77,3.0,95,179,3068,500,1000
153,within an hour,100%,t,Entire condo,"Mexico City, Mexico",t,f,t,2 baths,"['email', 'phone', 'work_email']",4.78,4.65,4.82,4.72,2.0,78,200,1362,2,60
154,within an hour,64%,t,Entire loft,Mexico,f,f,t,1 bath,"['email', 'phone']",4.88,4.89,4.84,4.78,1.0,129,209,980,4,1125
155,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.95,4.98,4.95,4.85,1.0,322,146,1685,3,1125
156,within a few hours,77%,t,Private room in rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.78,5.0,4.85,4.63,1.0,28,354,290,2,1125
157,within an hour,96%,t,Entire rental unit,"Naucalpan, Mexico",t,f,t,2 baths,"['email', 'phone', 'work_email']",4.78,4.97,4.88,4.72,2.0,101,358,1346,4,1125
158,within an hour,0%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 private bath,"['email', 'phone']",4.8,5.0,4.6,4.9,2.0,10,62,540,5,1125
159,within an hour,94%,t,Entire serviced apartment,"Mexico City, Mexico",t,f,t,1.5 baths,"['email', 'phone']",4.96,4.9,4.96,4.9,1.0,215,178,2564,1,250
