,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
11968,within an hour,96%,t,Private room in guesthouse,Mexico,t,t,t,2 shared baths,"['email', 'phone', 'work_email']",4.11,4.56,4.78,4.0,1.0,9,360,260,6,90
11969,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,DESCONOCIDO,f,f,t,2 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,2.0,5,0,650,5,30
11970,within an hour,99%,t,Entire rental unit,DESCONOCIDO,f,f,t,1 bath,"['email', 'phone']",4.71,4.75,4.89,4.67,5.0,73,316,1095,1,1125
11971,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,t,t,2 baths,"['email', 'phone']",4.93,4.93,4.99,4.9,2.0,73,238,1321,2,1125
11972,within an hour,100%,t,Shared room in hotel,"Mexico City, Mexico",f,t,t,1.5 shared baths,"['email', 'phone']",4.22,4.37,4.78,4.7,1.0,27,90,421,1,1125
11973,within an hour,99%,t,Room in hotel,"Ejido del Centro, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.0,4.0,4.0,4.0,3.0,1,170,1961,1,365
11974,within an hour,99%,t,Room in hotel,"Ejido del Centro, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.86,4.14,4.86,3.71,1.0,7,163,1502,1,365
11975,within an hour,100%,t,Private room in condo,"Mexico City, Mexico",t,t,t,1 private bath,"['email', 'phone']",4.86,4.99,4.92,4.87,1.0,78,87,413,2,1125
11976,within an hour,99%,t,Room in hotel,"Ejido del Centro, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.6,3.8,5.0,4.0,1.0,5,163,1465,1,365
11977,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,DESCONOCIDO,f,t,t,1 shared bath,"['email', 'phone']",4.7,4.8,4.8,4.7,2.0,0,365,3500,1,1125
11978,within an hour,98%,t,Entire serviced apartment,"Mexico City, Mexico",t,t,t,2 baths,"['email', 'phone', 'work_email']",5.0,5.0,4.6,4.6,3.0,5,314,2011,1,365
11979,within a day,71%,t,Private room in home,"Mexico City, Mexico",f,f,t,6 shared baths,"['email', 'phone']",4.6,4.8,4.4,4.6,1.0,5,365,299,7,365
11980,within an hour,99%,t,Room in hotel,"Ejido del Centro, Mexico",f,t,t,1 shared bath,"['email', 'phone']",5.0,4.0,5.0,5.0,1.0,1,155,2263,1,365
11981,within an hour,99%,t,Room in hotel,"Ejido del Centro, Mexico",f,t,t,1 shared bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,155,2277,1,365
11982,within an hour,99%,t,Private room in hostel,"Ejido del Centro, Mexico",f,t,t,1 private bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,161,1867,1,365
11983,within an hour,100%,f,Entire rental unit,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.78,4.9,4.84,4.89,1.0,80,310,810,2,1125
11984,DESCONOCIDO,29%,t,Entire condo,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone', 'work_email']",5.0,5.0,5.0,5.0,2.0,2,88,1286,3,15
11985,within a few hours,81%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,2,171,1197,3,1125
11986,within an hour,99%,t,Private room in home,"Mexico City, Mexico",f,f,t,2 shared baths,"['email', 'phone']",4.73,4.73,4.95,4.7,2.0,40,178,350,1,1125
11987,within an hour,99%,t,Entire loft,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.95,4.89,5.0,4.95,2.0,19,337,799,1,1125
11988,DESCONOCIDO,100%,t,Entire home,"Emiliano Zapata, Mexico",f,f,t,2 baths,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,363,1200,6,30
11989,within an hour,100%,t,Entire home,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone']",4.86,4.93,4.71,4.86,2.0,14,46,2464,4,1125
11990,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",4.87,4.96,4.87,4.87,5.0,53,146,1695,4,60
11991,within an hour,100%,t,Private room in rental unit,"Mexico City, Mexico",f,t,t,1 private bath,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,3,22,400,1,6
11992,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.8,4.8,4.6,4.8,2.0,5,365,210,3,365
11993,within an hour,100%,t,Entire rental unit,DESCONOCIDO,f,t,t,2 baths,"['email', 'phone']",4.67,4.92,4.75,4.75,3.0,12,268,1800,1,1125
11994,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Acapulco, Mexico",f,f,t,1 shared bath,['phone'],4.7,4.8,4.8,4.7,1.0,0,365,6401,1,1125
11995,within an hour,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.89,4.93,4.87,4.87,3.0,135,323,569,2,1125
11996,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Canc̼n, Mexico",f,f,t,2 baths,"['email', 'phone']",4.67,4.67,5.0,4.67,2.0,3,332,950,1,1125
11997,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1 shared bath,"['email', 'phone']",4.7,4.8,4.8,4.7,1.0,0,365,4230,30,60
